id,name,approach_date,absolute_magnitude_h,est_diameter_min_km,est_diameter_max_km,is_potentially_hazardous,relative_velocity_kph,miss_distance_km,miss_distance_lunar,orbiting_body,avg_diameter_km,approach_month,size_category
2226514,226514 (2003 UX34),2025-01-07,20.16,0.2469192656,0.5521282628,True,59576.3798149573,18491516.10423837,48.083570739,Earth,0.3995237642,2025-01,large
2438017,438017 (2003 YO3),2025-01-07,18.54,0.5206609142,1.1642331974,False,54996.3055018069,12136326.303555183,31.5581427201,Earth,0.8424470558,2025-01,large
2481442,481442 (2006 WO3),2025-01-07,21.58,0.1283970296,0.2871044863,False,77935.954023887,58239736.59965244,151.4410434939,Earth,0.20775075795,2025-01,large
3485806,(2010 AL60),2025-01-07,22.29,0.0925880583,0.2070331923,False,32361.4464638662,9414482.23419549,24.480519603,Earth,0.1498106253,2025-01,medium
3723888,(2015 NU2),2025-01-07,20.91,0.1748054532,0.3908768761,True,68881.0703726326,73466998.51753892,191.0365597005,Earth,0.28284116465,2025-01,large
3771633,(2017 FZ2),2025-01-07,26.6,0.0127219879,0.0284472297,False,27485.3820705561,43675472.56004904,113.5695235892,Earth,0.0205846088,2025-01,small
3792462,(2017 YD),2025-01-07,25.5,0.0211132445,0.0472106499,False,17691.4977576082,10536583.499046208,27.3983244623,Earth,0.0341619472,2025-01,small
3837883,(2019 AO12),2025-01-07,25.6,0.0201629919,0.0450858206,False,87401.5535619302,72072116.41250834,187.4094416215,Earth,0.03262440625,2025-01,small
3842657,(2019 KJ4),2025-01-07,27.4,0.0088014652,0.0196806745,False,34290.1468082932,49392413.8942228,128.4353113106,Earth,0.01424106985,2025-01,small
3704144,(2015 AC246),2025-01-06,23.4,0.0555334912,0.1241766613,False,21823.557432531,52820770.79549223,137.3500828551,Earth,0.08985507625,2025-01,medium
3781585,(2017 SK2),2025-01-06,23.2,0.0608912622,0.1361570015,False,19273.0559039038,66024505.62198272,171.6838126569,Earth,0.09852413185,2025-01,medium
3785681,(2017 TU1),2025-01-06,26.2,0.0152951935,0.0342010925,False,53321.9785063697,67762561.05205293,176.2032858439,Earth,0.024748143,2025-01,small
3843671,(2019 QY4),2025-01-06,27.6,0.0080270317,0.0179489885,False,65537.9276345136,52117749.5629085,135.5220136488,Earth,0.012988010099999999,2025-01,small
3989263,(2020 BP11),2025-01-06,26.8,0.0116025908,0.0259441818,False,56764.4031185162,35406461.06684568,92.0675765972,Earth,0.0187733863,2025-01,small
3740934,(2016 BD15),2025-01-05,21.2,0.1529519353,0.3420109247,True,93383.3700688104,71450808.49855644,185.7938519174,Earth,0.24748143,2025-01,large
3753595,(2016 KO),2025-01-05,26.5,0.0133215567,0.0297879063,False,55311.8444706586,63031190.87562886,163.9002831432,Earth,0.0215547315,2025-01,small
3989144,(2020 BC6),2025-01-05,20.85,0.1797028549,0.4018277992,True,79858.6540488112,3683381.686023033,9.5779136151,Earth,0.29076532705,2025-01,large
3879137,(2019 TK6),2025-01-04,22.64,0.0788052183,0.1762138252,False,37661.9172929179,40607718.03326146,105.5924279867,Earth,0.12750952175,2025-01,medium
3553148,(2010 XB11),2025-01-03,19.69,0.3065878759,0.6855513317,False,68182.206577871,19016653.471642926,49.4490877475,Earth,0.4960696038,2025-01,large
3645041,(2013 NC15),2025-01-03,22.14,0.0992098919,0.2218400624,False,43417.7895268897,25616443.389347907,66.6105505276,Earth,0.16052497715,2025-01,medium
3647191,(2013 RT9),2025-01-03,26.5,0.0133215567,0.0297879063,False,16233.9842106775,36530806.76349979,94.9912176624,Earth,0.0215547315,2025-01,small
3837864,(2019 AS11),2025-01-03,26.8,0.0116025908,0.0259441818,False,42708.3804730289,48375536.34533886,125.7911201432,Earth,0.0187733863,2025-01,small
3843735,(2019 QL7),2025-01-03,26.65,0.0124324001,0.0277996916,False,30891.5107520968,58599408.62498077,152.3763002449,Earth,0.02011604585,2025-01,small
2459462,459462 (2013 AY52),2025-01-02,19.9,0.2783267681,0.6223575734,False,62720.0394634552,15830336.75368406,41.1636943573,Earth,0.45034217075,2025-01,large
3648769,(2013 TK4),2025-01-02,23.98,0.0425162524,0.0950692305,False,64471.3074111931,53240801.67182095,138.4422909921,Earth,0.06879274145,2025-01,medium
3656933,(2014 BM25),2025-01-02,28.1,0.0063760979,0.0142573883,False,55213.8976234976,42733613.705436125,111.1204038628,Earth,0.0103167431,2025-01,small
3703792,(2015 BF),2025-01-02,26.6,0.0127219879,0.0284472297,False,92433.5572978271,72149352.40152915,187.6102787038,Earth,0.0205846088,2025-01,small
3766462,(2017 AZ13),2025-01-02,21.97,0.1072889455,0.2399053753,False,43194.0973228348,24373475.96157024,63.3784568527,Earth,0.1735971604,2025-01,medium
3837784,(2019 AR8),2025-01-02,25.61,0.0200703514,0.0448786701,False,82067.9308472164,66096247.4945897,171.8703633641,Earth,0.03247451075,2025-01,small
3842769,(2019 LS1),2025-01-02,22.48,0.0848310762,0.189688053,False,44753.354806865,18639595.585777443,48.4686224668,Earth,0.1372595646,2025-01,medium
3843713,(2019 QS6),2025-01-02,26.1,0.0160160338,0.0358129403,False,18369.899581269,40941595.586015895,106.4606112571,Earth,0.025914487049999997,2025-01,small
3968754,(2019 YA5),2025-01-02,26.0,0.0167708462,0.0375007522,False,45382.1604748949,41802119.06605575,108.6982342509,Earth,0.0271357992,2025-01,small
3561029,(2011 GE3),2025-01-01,25.88,0.0177237239,0.0396314515,False,29942.4840770101,49668157.47533864,129.1523285586,Earth,0.0286775877,2025-01,small
2506491,506491 (2003 UW29),2025-01-14,20.69,0.193443872,0.4325536477,True,96974.4703454129,17371524.962223362,45.1712528414,Earth,0.31299875985,2025-01,large
3309857,(2005 YU128),2025-01-14,25.26,0.0235806068,0.0527278398,False,25318.1380938953,7315337.907450606,19.0221053682,Earth,0.0381542233,2025-01,small
3459429,(2009 JR),2025-01-14,21.41,0.138852907,0.310484539,True,35255.9647684223,20426799.92997703,53.1158977916,Earth,0.22466872300000001,2025-01,large
3690386,(2014 SD145),2025-01-14,26.9,0.0110803882,0.0247765013,False,24076.0599167771,63564543.200627446,165.2871615421,Earth,0.01792844475,2025-01,small
3724104,(2015 NS13),2025-01-14,19.98,0.2682594171,0.5998462923,False,41574.8093947034,12016268.208482826,31.2459551269,Earth,0.4340528547,2025-01,large
3843826,(2019 RP2),2025-01-14,28.9,0.004411182,0.0098637028,False,12081.3799897366,30555004.61111053,79.4523130157,Earth,0.0071374424,2025-01,small
3892657,(2019 VJ2),2025-01-14,26.1,0.0160160338,0.0358129403,False,88958.0701581372,72046112.14388156,187.3418226073,Earth,0.025914487049999997,2025-01,small
2803401,803401 (2015 NS13),2025-01-14,19.98,0.2682594171,0.5998462923,False,41574.8094272809,12016268.447839418,31.2459557493,Earth,0.4340528547,2025-01,large
3102771,(2002 AL31),2025-01-13,24.5,0.0334622374,0.0748238376,False,41756.5699551389,21591690.628704485,56.1449682042,Earth,0.0541430375,2025-01,medium
3360486,(2006 WE4),2025-01-13,18.9,0.4411182,0.9863702813,False,63365.5885506077,41747245.57999381,108.5555464835,Earth,0.7137442406500001,2025-01,large
